   1     1  1 2 3 4 5 6 7 8 9 0 E T   
 108  1285  8 9 E T 0 1 4 6 2 7 3 5   58
 109  1297  9 8 T E 1 0 6 4 7 2 5 3   -
 110  1309  9 T 8 E 0 1 6 7 4 5 2 3   147
 111  1321  T 9 E 8 1 0 7 6 5 4 3 2   -
 112  1333  9 T E 1 8 0 6 7 4 5 2 3   36
 113  1345  T 9 1 E 0 8 7 6 5 4 3 2   -
 114  1357  T 9 E 1 0 7 8 5 6 3 4 2   125
 115  1369  9 T 1 E 7 0 5 8 3 6 2 4   -
 116  1381  9 1 T E 0 7 8 5 6 3 4 2   14
 117  1393  1 9 E T 7 0 5 8 3 6 2 4   -
 118  1405  9 1 E 7 T 5 0 3 8 2 6 4   3
 119  1417  1 9 7 E 5 T 3 0 2 8 4 6   -
 120  1429  1 9 E 7 T 5 0 3 8 2 6 4   12
 121  1441  9 1 7 E 5 T 3 0 2 8 4 6   -
 122  1453  1 9 7 5 E 3 T 2 0 4 8 6   3
 123  1465  9 1 5 7 3 E 2 T 4 0 6 8   -
 124  1477  9 5 1 7 E 3 T 2 0 4 8 6   14
 125  1489  5 9 7 1 3 E 2 T 4 0 6 8   -
 126  1501  5 9 1 7 3 2 E 4 T 6 0 8   125
 127  1513  9 5 7 1 2 3 4 E 6 T 8 0   -
 128  1525  5 9 7 2 1 3 E 4 T 6 0 8   36
 129  1537  9 5 2 7 3 1 4 E 6 T 8 0   -
 130  1549  9 2 5 7 1 3 4 6 E 8 T 0   147
 131  1561  2 9 7 5 3 1 6 4 8 E 0 T   -
 132  1573  9 2 5 7 3 6 1 4 E 8 T 0   58
 133  1585  2 9 7 5 6 3 4 1 8 E 0 T   -
 134  1597  2 7 9 6 5 3 1 4 8 0 E T   169
 135  1609  7 2 6 9 3 5 4 1 0 8 T E   -
 136  1621  2 7 9 6 5 3 4 0 1 8 E T   70
 137  1633  7 2 6 9 3 5 0 4 8 1 T E   -
 138  1645  7 6 2 3 9 0 5 4 1 8 E T   18
 139  1657  6 7 3 2 0 9 4 5 8 1 T E   -
 140  1669  7 6 2 3 9 0 5 4 8 T 1 E   9
 141  1681  6 7 3 2 0 9 4 5 T 8 E 1   -
 142  1693  6 3 7 0 2 4 9 T 5 8 1 E   10
 143  1705  3 6 0 7 4 2 T 9 8 5 E 1   -
 144  1717  6 3 7 0 2 4 9 T 5 8 E 1   E
 145  1729  3 6 0 7 4 2 T 9 8 5 1 E   -
 146  1741  3 0 6 4 7 T 2 8 9 5 E 1   10
 147  1753  0 3 4 6 T 7 8 2 5 9 1 E   -
 148  1765  3 0 6 4 7 T 2 8 5 1 9 E   9
 149  1777  0 3 4 6 T 7 8 2 1 5 E 9   -
 150  1789  0 4 3 T 6 8 7 2 5 1 9 E   18
 151  1801  4 0 T 3 8 6 2 7 1 5 E 9   -
 152  1813  0 4 3 T 6 8 2 1 7 5 9 E   70
 153  1825  4 0 T 3 8 6 1 2 5 7 E 9   -
 154  1837  4 T 0 8 3 6 2 1 5 E 7 9   169
 155  1849  T 4 8 0 6 3 1 2 E 5 9 7   -
 156  1861  4 T 0 8 6 1 3 2 5 E 7 9   58
 157  1873  T 4 8 0 1 6 2 3 E 5 9 7   -
 158  1885  T 8 4 0 6 1 2 E 3 9 5 7   147
 159  1897  8 T 0 4 1 6 E 2 9 3 7 5   -
 160  1909  T 8 0 1 4 6 2 E 3 9 5 7   36
 161  1921  8 T 1 0 6 4 E 2 9 3 7 5   -
 162  1933  8 T 0 1 6 E 4 9 2 7 3 5   125
 163  1945  T 8 1 0 E 6 9 4 7 2 5 3   -
 164  1957  T 1 8 0 6 E 4 9 2 7 3 5   14
 165  1969  1 T 0 8 E 6 9 4 7 2 5 3   -
 166  1981  T 1 0 E 8 9 6 7 4 5 2 3   3
 167  1993  1 T E 0 9 8 7 6 5 4 3 2   -
 168  2005  1 E T 0 8 9 6 7 4 5 2 3   14
 169  2017  E 1 0 T 9 8 7 6 5 4 3 2   -
 170  2029  1 E 0 9 T 7 8 5 6 3 4 2   3
 171  2041  E 1 9 0 7 T 5 8 3 6 2 4   -
 172  2053  E 9 1 0 T 7 8 5 6 3 4 2   14
 173  2065  9 E 0 1 7 T 5 8 3 6 2 4   -
 174  2077  9 E 1 0 7 5 T 3 8 2 6 4   125
 175  2089  E 9 0 1 5 7 3 T 2 8 4 6   -
 176  2101  9 E 0 5 1 7 T 3 8 2 6 4   36
 177  2113  E 9 5 0 7 1 3 T 2 8 4 6   -
 178  2125  E 5 9 0 1 7 3 2 T 4 8 6   147
 179  2137  5 E 0 9 7 1 2 3 4 T 6 8   -
 180  2149  E 5 9 0 7 2 1 3 T 4 8 6   58
 181  2161  5 E 0 9 2 7 3 1 4 T 6 8   -
 182  2173  5 0 E 2 9 7 1 3 4 6 T 8   169
 183  2185  0 5 2 E 7 9 3 1 6 4 8 T   -
 184  2197  5 0 E 2 9 7 3 6 1 4 T 8   70
 185  2209  0 5 2 E 7 9 6 3 4 1 8 T   -
 186  2221  0 2 5 7 E 6 9 3 1 4 T 8   18
 187  2233  2 0 7 5 6 E 3 9 4 1 8 T   -
 188  2245  0 2 5 7 E 6 9 3 4 8 1 T   9
 189  2257  2 0 7 5 6 E 3 9 8 4 T 1   -
 190  2269  2 7 0 6 5 3 E 8 9 4 1 T   10
 191  2281  7 2 6 0 3 5 8 E 4 9 T 1   -
 192  2293  2 7 0 6 5 3 E 8 9 4 T 1   E
 193  2305  7 2 6 0 3 5 8 E 4 9 1 T   -
 194  2317  7 6 2 3 0 8 5 4 E 1 9 T   1
 195  2329  6 7 3 2 8 0 4 5 9 E 1 T   ?
 196  2341  7 6 2 3 0 8 5 4 9 1 E T   9
 197  2353  6 7 3 2 8 0 4 5 1 9 T E   -
 198  2365  6 3 7 8 2 4 0 5 9 1 E T   18
 199  2377  3 6 8 7 4 2 5 0 1 9 T E   -
 200  2389  6 3 7 8 2 4 5 1 0 9 E T   70
 201  2401  3 6 8 7 4 2 1 5 9 0 T E   -
 202  2413  3 8 6 4 7 2 5 1 9 T 0 E   169
 203  2425  8 3 4 6 2 7 1 5 T 9 E 0   -
 204  2437  3 8 6 4 2 1 7 5 9 T 0 E   58
 205  2449  8 3 4 6 1 2 5 7 T 9 E 0   -
 206  2461  8 4 3 6 2 1 5 T 7 E 9 0   147
 207  2473  4 8 6 3 1 2 T 5 E 7 0 9   -
 208  2485  8 4 6 1 3 2 5 T 7 E 9 0   36
 209  2497  4 8 1 6 2 3 T 5 E 7 0 9   -
 210  2509  4 8 6 1 2 T 3 E 5 0 7 9   125
 211  2521  8 4 1 6 T 2 E 3 0 5 9 7   -
 212  2533  8 1 4 6 2 T 3 E 5 0 7 9   14
 213  2545  1 8 6 4 T 2 E 3 0 5 9 7   -
 214  2557  8 1 6 T 4 E 2 0 3 9 5 7   3
 215  2569  1 8 T 6 E 4 0 2 9 3 7 5   -
 216  2581  1 8 6 T 4 E 2 0 3 9 5 7   12
 217  2593  8 1 T 6 E 4 0 2 9 3 7 5   -
 218  2605  1 8 T E 6 0 4 9 2 7 3 5   3
 219  2617  8 1 E T 0 6 9 4 7 2 5 3   -
 220  2629  8 E 1 T 6 0 4 9 2 7 3 5   14
 221  2641  E 8 T 1 0 6 9 4 7 2 5 3   -
 222  2653  E 8 1 T 0 9 6 7 4 5 2 3   125
 223  2665  8 E T 1 9 0 7 6 5 4 3 2   -
 224  2677  E 8 T 9 1 0 6 7 4 5 2 3   36
 225  2689  8 E 9 T 0 1 7 6 5 4 3 2   -
 226  2701  8 9 E T 1 0 7 5 6 3 4 2   147
 227  2713  9 8 T E 0 1 5 7 3 6 2 4   -
 228  2725  8 9 E T 0 5 1 7 6 3 4 2   58
 229  2737  9 8 T E 5 0 7 1 3 6 2 4   -
 230  2749  9 T 8 5 E 0 1 7 3 2 6 4   169
 231  2761  T 9 5 8 0 E 7 1 2 3 4 6   -
 232  2773  9 T 8 5 E 0 7 2 1 3 6 4   70
 233  2785  T 9 5 8 0 E 2 7 3 1 4 6   -
 234  2797  T 5 9 0 8 2 E 7 1 3 6 4   18
 235  2809  5 T 0 9 2 8 7 E 3 1 4 6   -
 236  2821  T 5 9 0 8 2 E 7 3 4 1 6   9
 237  2833  5 T 0 9 2 8 7 E 4 3 6 1   -
 238  2845  5 0 T 2 9 7 8 4 E 3 1 6   10
 239  2857  0 5 2 T 7 9 4 8 3 E 6 1   -
 240  2869  5 0 T 9 2 7 8 4 E 3 6 1   ?
 241  2881  0 5 2 T 7 9 4 8 3 E 1 6   ?
 242  2893  0 2 5 7 T 4 9 3 8 E 6 1   10
 243  2905  2 0 7 5 4 T 3 9 E 8 1 6   -
 244  2917  0 2 5 7 T 4 9 3 E 1 8 6   9
 245  2929  2 0 7 5 4 T 3 9 1 E 6 8   -
 246  2941  2 7 0 4 5 3 T 9 E 1 8 6   18
 247  2953  7 2 4 0 3 5 9 T 1 E 6 8   -
 248  2965  2 7 0 4 5 3 9 1 T E 8 6   70
 249  2977  7 2 4 0 3 5 1 9 E T 6 8   -
 250  2989  7 4 2 3 0 5 9 1 E 6 T 8   169
 251  3001  4 7 3 2 5 0 1 9 6 E 8 T   -
 252  3013  7 4 2 3 5 1 0 9 E 6 T 8   58
 253  3025  4 7 3 2 1 5 9 0 6 E 8 T   -
 254  3037  4 3 7 2 5 1 9 6 0 8 E T   147
 255  3049  3 4 2 7 1 5 6 9 8 0 T E   -
 256  3061  4 3 2 1 7 5 9 6 0 8 E T   36
 257  3073  3 4 1 2 5 7 6 9 8 0 T E   -
 258  3085  3 4 2 1 5 6 7 8 9 T 0 E   125
 259  3097  4 3 1 2 6 5 8 7 T 9 E 0   -
 260  3109  4 1 3 2 5 6 7 8 9 T 0 E   14
 261  3121  1 4 2 3 6 5 8 7 T 9 E 0   -
 262  3133  4 1 2 6 3 8 5 T 7 E 9 0   3
 263  3145  1 4 6 2 8 3 T 5 E 7 0 9   -
 264  3157  1 4 2 6 3 8 5 T 7 E 9 0   12
 265  3169  4 1 6 2 8 3 T 5 E 7 0 9   -
 266  3181  1 4 6 8 2 T 3 E 5 0 7 9   3
 267  3193  4 1 8 6 T 2 E 3 0 5 9 7   -
 268  3205  4 8 1 6 2 T 3 E 5 0 7 9   14
 269  3217  8 4 6 1 T 2 E 3 0 5 9 7   -
 270  3229  8 4 1 6 T E 2 0 3 9 5 7   125
 271  3241  4 8 6 1 E T 0 2 9 3 7 5   -
 272  3253  8 4 6 E 1 T 2 0 3 9 5 7   36
 273  3265  4 8 E 6 T 1 0 2 9 3 7 5   -
 274  3277  4 E 8 6 1 T 0 9 2 7 3 5   147
 275  3289  E 4 6 8 T 1 9 0 7 2 5 3   -
 276  3301  4 E 8 6 T 9 1 0 2 7 3 5   58
 277  3313  E 4 6 8 9 T 0 1 7 2 5 3   -
 278  3325  E 6 4 9 8 T 1 0 7 5 2 3   169
 279  3337  6 E 9 4 T 8 0 1 5 7 3 2   -
 280  3349  E 6 4 9 8 T 0 5 1 7 2 3   70
 281  3361  6 E 9 4 T 8 5 0 7 1 3 2   -
 282  3373  6 9 E T 4 5 8 0 1 7 2 3   18
 283  3385  9 6 T E 5 4 0 8 7 1 3 2   -
 284  3397  6 9 E T 4 5 8 0 7 3 1 2   9
 285  3409  9 6 T E 5 4 0 8 3 7 2 1   -
 286  3421  9 T 6 5 E 0 4 3 8 7 1 2   10
 287  3433  T 9 5 6 0 E 3 4 7 8 2 1   -
 288  3445  9 T 6 5 E 0 4 3 8 7 2 1   E
 289  3457  T 9 5 6 0 E 3 4 7 8 1 2   -
 290  3469  T 5 9 0 6 3 E 7 4 8 2 1   10
 291  3481  5 T 0 9 3 6 7 E 8 4 1 2   -
 292  3493  T 5 9 0 6 3 E 7 8 1 4 2   9
 293  3505  5 T 0 9 3 6 7 E 1 8 2 4   -
 294  3517  5 0 T 3 9 7 6 E 8 1 4 2   18
 295  3529  0 5 3 T 7 9 E 6 1 8 2 4   -
 296  3541  5 0 T 3 9 7 E 1 6 8 4 2   70
 297  3553  0 5 3 T 7 9 1 E 8 6 2 4   -
 298  3565  0 3 5 7 T 9 E 1 8 2 6 4   169
 299  3577  3 0 7 5 9 T 1 E 2 8 4 6   -
 300  3589  0 3 5 7 9 1 T E 8 2 6 4   58
 301  3601  3 0 7 5 1 9 E T 2 8 4 6   -
 302  3613  3 7 0 5 9 1 E 2 T 4 8 6   147
 303  3625  7 3 5 0 1 9 2 E 4 T 6 8   -
 304  3637  3 7 5 1 0 9 E 2 T 4 8 6   36
 305  3649  7 3 1 5 9 0 2 E 4 T 6 8   -
 306  3661  7 3 5 1 9 2 0 4 E 6 T 8   125
 307  3673  3 7 1 5 2 9 4 0 6 E 8 T   -
 308  3685  3 1 7 5 9 2 0 4 E 6 T 8   14
 309  3697  1 3 5 7 2 9 4 0 6 E 8 T   -
 310  3709  3 1 5 2 7 4 9 6 0 8 E T   3
 311  3721  1 3 2 5 4 7 6 9 8 0 T E   -
 312  3733  1 2 3 4 5 6 7 8 9 0 E T   10
 313  3745  1 2 3 4 5 6 7 8 9 0 E T   =
 314  3757  1 2 3 4 5 6 7 8 9 0 E T   =
 315  3769  1 2 3 4 5 6 7 8 9 0 E T   =
 316  3781  1 2 3 4 5 6 7 8 9 0 E T   =
 317  3793  1 2 3 4 5 6 7 8 9 0 E T   =
 318  3805  1 2 3 4 5 6 7 8 9 0 E T   =
 319  3817  1 2 3 4 5 6 7 8 9 0 E T   =
 320  3829  1 2 3 4 5 6 7 8 9 0 E T   =
